"screen_name"	"text"	"favorite_count"	"retweet_followers_count"	"retweet_count"	"created_at"	"termo"	"url"
"WESLEY_BJJ"	"@jdoriajr @jairbolsonaro @marciofrancasp E outra coisa, o Brasil lutou sim, e ainda luta pela democracies, mas VC não, a única luta que te assistimos travar, foi pra comer pastel de feira e tomar pingado para parecer do povo, não fode JOÃO, tu é um bostão!!! https://t.co/RCbrEcMnlF"	0	NA	0	2020-02-26 13:00:05	"@marciofrancasp"	"https://twitter.com/WESLEY_BJJ/status/1232651547785474048"
"WESLEY_BJJ"	"@jdoriajr Cala tua Boca seu Ze Mane, ta ai atacando o Presidente @jairbolsonaro , mas se apeiveitou do nome dele pra ser eleito, pois o @marciofrancasp já tinha te engolidos nos debates e tu ia perder a eleiçao, e usou o none do PR sem autorização do mesmo, isso tu não achou inoportuno ne"	0	NA	0	2020-02-26 12:57:08	"@marciofrancasp"	"https://twitter.com/WESLEY_BJJ/status/1232650806786220032"
"Gabriel84266466"	"@CarlaZambelli38 @jdoriajr @marciofrancasp Deveria ter o @marciofrancasp **"	0	NA	0	2020-02-26 12:54:15	"@marciofrancasp"	"https://twitter.com/Gabriel84266466/status/1232650079019900929"
"Gabriel84266466"	"@CarlaZambelli38 @jdoriajr Acho q era melhor ter o @marciofrancasp como governador de São Paulo, do q esse Zé ruela @jdoriajr"	0	NA	0	2020-02-26 12:53:33	"@marciofrancasp"	"https://twitter.com/Gabriel84266466/status/1232649904096468995"
"allkar"	"@jdoriajr Eiii  ... só p não cair no esquecimento @marciofrancasp colocando o sr em seu devido lugar... @jdoriajr e aguarde que sua resposta virá nas urnas! #BolsonaroPresidenteAte2026 https://t.co/NgsOHqTWs6"	0	28100	21	2020-02-26 12:31:57	"@marciofrancasp"	"https://twitter.com/allkar/status/1232644470149124097"
"taniammoliveira"	"@Pattyy_Ribeiro @jdoriajr @marciofrancasp 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷"	2	NA	0	2020-02-26 12:28:30	"@marciofrancasp"	"https://twitter.com/taniammoliveira/status/1232643602708357120"
"LEONARD01421180"	"@JoseMedeirosMT @paulacamara_ @jairbolsonaro @MagnoMalta Desculpa @marciofrancasp ... Fizemos uma merda gigantesca"	0	NA	0	2020-02-26 11:58:08	"@marciofrancasp"	"https://twitter.com/LEONARD01421180/status/1232635957649776641"
"LEONARD01421180"	"@conexaopolitica Cala a boca @jdoriajr .. perdão @marciofrancasp .... Fizemos merda"	0	NA	0	2020-02-26 02:28:14	"@marciofrancasp"	"https://twitter.com/LEONARD01421180/status/1232492537014898688"
"sila03"	"@Pattyy_Ribeiro @N______N__nanau @jdoriajr @marciofrancasp @jdoriajr você falou veja suas entrevista, es dissimulado."	0	NA	0	2020-02-26 11:33:59	"@marciofrancasp"	"https://twitter.com/sila03/status/1232629881365843968"
"sila03"	"@jdoriajr Eiii  ... só p não cair no esquecimento @marciofrancasp colocando o sr em seu devido lugar... @jdoriajr e aguarde que sua resposta virá nas urnas! #BolsonaroPresidenteAte2026 https://t.co/NgsOHqTWs6"	0	28100	21	2020-02-26 11:31:27	"@marciofrancasp"	"https://twitter.com/sila03/status/1232629244716515328"
